"Last updated","Type","Suburb","Venue","Date and time of exposure","Health advice"
"19/07/2021","Get tested immediately and self-isolate for 14 days.","Lakemba","Al Sultan Butchery130 Haldon Street","All day on Sunday 18 July 2021All day on Saturday 17 July 2021All day on Friday 16 July 2021All day on Thursday 15 July 2021All day on Wednesday 14 July 2021All day on Tuesday 13 July 2021All day on Monday 12 July 2021All day on Sunday 11 July 2021All day on Saturday 10 July 2021All day on Friday 9 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"19/07/2021","Get tested immediately and self-isolate for 14 days.","Padstow","Ampol Foodery Padstow115 Fairford Road","3:45pm to 4pm on Tuesday 6 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"19/07/2021","Get tested immediately and self-isolate for 14 days.","Summer Hill","Cafe Juliet1-11 Hardie Avenue","11:30am to 12pm on Thursday 8 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"19/07/2021","Get tested immediately and self-isolate for 14 days.","Fairfield","Free Choice FairfieldFairfield Forum, Shop 5 8/36 Station Street","9am to 4pm on Saturday 17 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"19/07/2021","Get tested immediately and self-isolate for 14 days.","Coffs Harbour","Hoey Moey Bottleshop (Bottlemart) 90 Ocean Parade","3:55pm to 4:10pm on Thursday 15 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"19/07/2021","Get tested immediately and self-isolate for 14 days.","Lakemba","Paradise Grocery117 Haldon Street","4:45pm to 5:05pm on Sunday 11 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Burwood","7-Eleven BurwoodParramatta Road","3:25pm to 3:35pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Smithfield","7-Eleven Smithfield320 Polding Street","7:20am to 7:45am on Friday 16 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hoxton Park","Aldi Hoxton Park501 Cowpasture Road","3:45pm to 4:30pm on Sunday 11 July 202112:20pm to 12:45pm on Friday 9 July 20213:30pm to 4pm on Monday 5 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Liverpool","Aldi Liverpool82 Hoxton Park Road","6:05pm to 6:10pm on Tuesday 13 July 20219:15am to 9:45am on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
